description,instructional,principal
"Counselor, Mid School",TRUE,
"Dept Mgr, Planning and Siting",FALSE,
"Data Strategist,Transformation",FALSE,
"Supv, Research and Evaluation",FALSE,
"Chief Officer, Technology",FALSE,
"Supt, Regional",FALSE,
Chief Equity Diversity Officer,FALSE,
"Asst Supt, Curriculum & Instr",FALSE,
Chief of Schools,FALSE,
"Chief of Schools,Admin Ldr Dev",FALSE,
Chief of Staff,FALSE,
"Deputy Supt, CAO",FALSE,
"Specialist, Warranty",FALSE,
Consultant,FALSE,
"Early Hire, Instructional",FALSE,
"Dept Mgr, Comm Transformation",FALSE,
Dept Mgr,FALSE,
"Spec, Quality Management",FALSE,
"Technician, Field Service",FALSE,
"Service Controller, HVAC",FALSE,
Teacher Leader,TRUE,
Chief of Communications,FALSE,
"Service Specialist, HVAC",FALSE,
"Counselor, Adult Tech",TRUE,
"Supv, Accountability Imprvmnt",FALSE,
"Asst Mgr, Culinary Operations",FALSE,
"Liaison, Education Advocate",FALSE,
"Director, Regional (DOE)",FALSE,
"Operator 2, Constr Equip",FALSE,
"Spec, Inspection & Compliance",FALSE,
Supv Operations,FALSE,
"Supv, HOST",FALSE,
"Coach, Social Studies",TRUE,
"Supv, K-12 Writing",FALSE,
"Supv, Strategic Init Spec Proj",FALSE,
"Dept Mgr, Community Engagement",FALSE,
"Asst Supt, Teaching & Learning",FALSE,
"Counselor, Alt Ed School",TRUE,
"Mgr, Culinary Operations",FALSE,
"Chief Officer, Operations",FALSE,
"Chief Officer, Transformation",FALSE,
"Assoc Gen Mgr, Student NutrSvc",FALSE,
"Chief Officer, Innovation",FALSE,
"Chief Officer, Financial",FALSE,
"Spec, Equip Maint & Repair",FALSE,
"Officer, Exec Prof Standards",FALSE,
"Chief Officer, Climate Culture",FALSE,
"Res Tchr, Climate & Culture",FALSE,
"Res Tchr, Site, RTI T1",FALSE,
"Interpreter, Educational Lvl 3",FALSE,
"Liaison, ELL",FALSE,
"Interpreter, Educational Lvl 2",FALSE,
"Interpreter, Educational Lvl 1",FALSE,
"Interpreter, Sign Language",FALSE,
"Dept Mgr, Quality Assurance",FALSE,
"Supv, School Board Office",FALSE,
"Supv, School Counseling Srvcs",FALSE,
Chief of Strategic Planning,FALSE,
Principal on Special Assign,FALSE,TRUE
"Chief Officer,Fed Prog, Grants",FALSE,
"Tchr, Early Literacy-ReadRecov",TRUE,
ELP Tchr,TRUE,
