district_name,school_name,district_number,school_number,number_of_students,ela_level1_num,ela_level2_num,ela_level3_num,ela_level4_num,ela_level5_num,ela_level1,ela_level2,ela_level3,ela_level4,ela_level5
BREVARD,SATURN ELEMENTARY SCHOOL,05,1131,277,129,68,31,36,14,0.4657039711191336,0.24548736462093862,0.11191335740072202,0.1299638989169675,0.05054151624548736
BREVARD,SCULPTOR CHARTER SCHOOL,05,6508,385,67,99,92,90,35,0.17402597402597403,0.2571428571428571,0.23896103896103896,0.23376623376623376,0.09090909090909091
BREVARD,SEA PARK ELEMENTARY SCHOOL,05,6051,170,16,27,36,58,33,0.09411764705882353,0.1588235294117647,0.21176470588235294,0.3411764705882353,0.19411764705882353
BREVARD,SHERWOOD ELEMENTARY SCHOOL,05,3041,239,35,62,62,60,19,0.14644351464435146,0.2594142259414226,0.2594142259414226,0.2510460251046025,0.0794979079497908
BREVARD,SOUTH AREA ALTERNATIVE LEARNING CENTER,05,1018,142,94,24,12,5,0,0.6619718309859155,0.16901408450704225,0.08450704225352113,0.035211267605633804,0
BREVARD,SOUTH LAKE ELEMENTARY,05,0122,241,17,43,62,72,47,0.07053941908713693,0.17842323651452283,0.2572614107883817,0.2987551867219917,0.1950207468879668
BREVARD,SOUTHWEST MIDDLE SCHOOL,05,2122,864,330,214,172,95,53,0.3819444444444444,0.24768518518518517,0.19907407407407407,0.1099537037037037,0.061342592592592594
BREVARD,SPACE COAST JR/SR HIGH SCHOOL,05,0302,970,242,236,223,179,90,0.24948453608247423,0.24329896907216494,0.22989690721649483,0.18453608247422681,0.09278350515463918
BREVARD,SPESSARD L. HOLLAND ELEMENTARY,05,6013,256,24,24,51,87,70,0.09375,0.09375,0.19921875,0.33984375,0.2734375
BREVARD,STONE MAGNET MIDDLE SCHOOL,05,2071,612,242,147,107,80,43,0.3954248366013072,0.24019607843137256,0.17483660130718953,0.13071895424836602,0.07026143790849673
BREVARD,SUNRISE ELEMENTARY SCHOOL,05,2221,423,81,106,106,100,30,0.19148936170212766,0.25059101654846333,0.25059101654846333,0.2364066193853428,0.07092198581560284
BREVARD,SUNTREE ELEMENTARY SCHOOL,05,3121,382,33,43,94,117,95,0.08638743455497382,0.112565445026178,0.24607329842931938,0.306282722513089,0.2486910994764398
BREVARD,SURFSIDE ELEMENTARY SCHOOL,05,6061,264,24,35,79,76,50,0.09090909090909091,0.13257575757575757,0.29924242424242425,0.2878787878787879,0.1893939393939394
BREVARD,THEODORE ROOSEVELT ELEMENTARY SCHOOL,05,5012,175,20,35,52,38,30,0.11428571428571428,0.2,0.29714285714285715,0.21714285714285714,0.17142857142857143
BREVARD,THOMAS JEFFERSON MIDDLE SCHOOL,05,4111,582,137,122,154,96,73,0.23539518900343642,0.20962199312714777,0.2646048109965636,0.16494845360824742,0.1254295532646048
BREVARD,TITUSVILLE HIGH SCHOOL,05,0011,657,201,151,131,125,53,0.3059360730593607,0.2298325722983257,0.1993911719939117,0.1902587519025875,0.0806697108066971
