File Name,REC. TIME,EVENT#,CALL TYPE,LOCATION,Pd Zone:,Pd Grid:,Validation Link
10402 N 56th.pdf,07:31,2022045381,STER-Traffic Enforce,10402 N 56th St.,ន,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=65&page=1
10402 N 56th.pdf,07:29,2022045882,STER-Traffic Enforce,10402 N 56th St.,ន,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=66&page=1
10402 N 56th.pdf,07:32,2022046006,STER-Traffic Enforce,10402 N 56th St.,ន,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=67&page=1
10402 N 56th.pdf,12:34 07:28,2022046052 2022046279,1006-Busy STER-Traffic Enforce,10402 N 56th St. 10402 N 56th St.,ន ន,221 221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=68&page=1
10402 N 56th.pdf,23:02,2022046500,T-Traffic Stop,10402 N 56th St.,ន,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=69&page=1
10402 N 56th.pdf,07:33,2022046839,STER-Traffic Enforce,10402 N 56th St.,ន Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=70&page=1
10402 N 56th.pdf,11:51,2022046874,S45-911 Hang Up,10402 N 56th St.,ន Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=71&page=1
10402 N 56th.pdf,07:27,2022046989,STER-Traffic Enforce,10402 N 56th St.,Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=72&page=2
10402 N 56th.pdf,09:43,2022047117,RA-Risk Assessment,10402 N 56th St.,Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=73&page=2
10402 N 56th.pdf,07:32,2022047244,STER-Traffic Enforce,10402 N 56th St.,Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=74&page=2
10402 N 56th.pdf,08:28,2022047639,S31SD-Sim. Battery/a,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=75&page=2
10402 N 56th.pdf,07:35,2022047784,STER-Traffic Enforce,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=76&page=2
10402 N 56th.pdf,07:27,2022047914,STER-Traffic Enforce,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=77&page=2
10402 N 56th.pdf,13:16,2022047970,SSD-Safe School Dril,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=78&page=2
10402 N 56th.pdf,13:26,2022048303,S68-Police Service C,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=79&page=2
10402 N 56th.pdf,14:01,2022048702,S17-Attempt To Conta,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=80&page=2
10402 N 56th.pdf,07:22,2022048783,STER-Traffic Enforce,10402 N 56th St.,Z2,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=81&page=2
10402 N 56th.pdf,08:46,2022048802,S56-Narcotics Case,10402 N 56th St.,Z2,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=82&page=2
10402 N 56th.pdf,08:47,2022048801,S68-Police Service C,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=83&page=2
10402 N 56th.pdf,15:33,2022048852,S56-Narcotics Case,10402 N 56th St.,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=84&page=2
10402 N 56th.pdf,17:23,2022048866,S31SD-Sim. Battery/a,10402 N 56th St.,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=85&page=2
10402 N 56th.pdf,11:13,2022048983,S68-Police Service C,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=86&page=2
10402 N 56th.pdf,07:22,2022049090,STER-Traffic Enforce,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=87&page=2
10402 N 56th.pdf,10:42,2022049110,S68-Police Service C,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=88&page=2
10402 N 56th.pdf,07:20,2022049209,STER-Traffic Enforce,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=89&page=2
10402 N 56th.pdf,19:54,2022049273,S12-Reckless Vehicle,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=90&page=2
10402 N 56th.pdf,16:33,2022049810,K9-T-K9-Training,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=91&page=2
10402 N 56th.pdf,11:46,2022050504,RA-Risk Assessment,10402 N 56th St.,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=92&page=2
10402 N 56th.pdf,13:13,2022050512,SSD-Safe School Dril,10402 N 56th St.,,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=93&page=2
10402 N 56th.pdf,07:15,2022050617,STER-Traffic Enforce,10402 N 56th St.,,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=94&page=2
10402 N 56th.pdf,08:27,2022050625,S17-Attempt To Conta,10402 N 56th St.,Z2,221,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=95&page=2
10402 N 56th.pdf,14:31,2022050671,S17-Attempt To Conta,10402 N 56th St.,Z2,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=bbf4d122b1e7c999_db477e65b9a17d34&schid=8001&row=96&page=2
