File Name,REC. TIME,EVENT#,CALL TYPE,LOCATION,& Pd Zone:,Pd Grid:,Validation Link
6700 Whiteway.pdf,07:50,2023011898,STER-Traffic Enforce,6700 Whiteway Dr.,Z2,217,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=c76a92a06a23c8d3_db477e65b9a17d34&schid=8013&row=19&page=2
6700 Whiteway.pdf,07:14,2023012032,STER-Traffic Enforce,6700 Whiteway Dr.,Z2,217,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=c76a92a06a23c8d3_db477e65b9a17d34&schid=8013&row=20&page=2
6700 Whiteway.pdf,13:11,2023012488,DIR P,6700 Whiteway Dr.,Z2,217,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=c76a92a06a23c8d3_db477e65b9a17d34&schid=8013&row=21&page=2
6700 Whiteway.pdf,07:49,2023012797,S40D-Criminal Mischi,6700 Whiteway Dr.,Z2,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=c76a92a06a23c8d3_db477e65b9a17d34&schid=8013&row=22&page=2
6700 Whiteway.pdf,08:29,2023012808,SSD-Safe School Dril,6700 Whiteway Dr.,ន Z2,217,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=c76a92a06a23c8d3_db477e65b9a17d34&schid=8013&row=23&page=2
6700 Whiteway.pdf,08:45,2023012818,T-Traffic Stop,6700 Whiteway Dr.,ន,,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=c76a92a06a23c8d3_db477e65b9a17d34&schid=8013&row=24&page=2
6700 Whiteway.pdf,08:53,2023012821,RA-Risk Assessment,6700 Whiteway Dr.,ន,217,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=c76a92a06a23c8d3_db477e65b9a17d34&schid=8013&row=25&page=2
6700 Whiteway.pdf,08:00,2023013019,FP-Foot Patrol,6700 Whiteway Dr.,ន,217,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=c76a92a06a23c8d3_db477e65b9a17d34&schid=8013&row=26&page=2
6700 Whiteway.pdf,06:52,2023013199,STER-Traffic Enforce,6700 Whiteway Dr.,ន,217,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=c76a92a06a23c8d3_db477e65b9a17d34&schid=8013&row=27&page=2
6700 Whiteway.pdf,10:51,2023013830,S17-Attempt To Conta,6700 Whiteway Dr.,ន,217,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=c76a92a06a23c8d3_db477e65b9a17d34&schid=8013&row=28&page=2
6700 Whiteway.pdf,06:52,2023014392,STER-Traffic Enforce,6700 Whiteway Dr.,ន Z2,217,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=c76a92a06a23c8d3_db477e65b9a17d34&schid=8013&row=29&page=2
6700 Whiteway.pdf,06:49,2023014668,STER-Traffic Enforce,6700 Whiteway Dr.,ន,217,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=c76a92a06a23c8d3_db477e65b9a17d34&schid=8013&row=30&page=2
6700 Whiteway.pdf,06:55,2023015913,STER-Traffic Enforce,6700 Whiteway Dr.,ន Z2,217,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=c76a92a06a23c8d3_db477e65b9a17d34&schid=8013&row=31&page=2
6700 Whiteway.pdf,07:03,2023016564,STER-Traffic Enforce,6700 Whiteway Dr.,ន Z2,217,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=c76a92a06a23c8d3_db477e65b9a17d34&schid=8013&row=32&page=2
6700 Whiteway.pdf,06:50,2023017239,STER-Traffic Enforce,6700 Whiteway Dr.,ន,217,https://journaliststudio.google.com/pinpoint-extract/preview?collection=db477e65b9a17d34&job=fb839ccbe5807225&docid=c76a92a06a23c8d3_db477e65b9a17d34&schid=8013&row=33&page=2
